Item Number 1               Name: Brother's medallion                                 Age:  500 years,   46 days 	Tags: Dangerous,Important,Magic,Remembered,Token,Trinket
Item Number 38              Name: Wound ball of string, striped                       Age:  492 years,  233 days 	Tags: Clothing,NonMagic,Safe
Item Number 39              Name: Cracked ceramic bead with blue glaze                Age:    9 years,   98 days 	Tags: Recent,Remembered,Safe,Trinket
Item Number 40              Name: Folded scrap of musical notation                    Age:  485 years,   45 days 	Tags: NonMagic,Safe,Trinket
Item Number 41              Name: Fragment of stained glass                           Age:  336 years,  308 days 	Tags: NonMagic,Safe,Trinket
Item Number 42              Name: Length of chain with miniature hook                 Age:  288 years,  177 days 	Tags: NonMagic,Part,Safe,Tool
Item Number 43              Name: Miniature paintbrush (no bristles)                  Age:   76 years,  200 days 	Tags: NonMagic,Safe,Tool
Item Number 44              Name: Carved cork stopper                                 Age:  336 years,  324 days 	Tags: NonMagic,Safe,Trinket
Item Number 45              Name: Sheet of copper foil                                Age:  457 years,   76 days 	Tags: NonMagic,Part,RawMaterial,Safe
Item Number 46              Name: Small box of flint and steel                        Age:  307 years,   78 days 	Tags: NonMagic,Part,Safe,Tool
Item Number 47              Name: Embroidered scrap from an old banner                Age:  240 years,  221 days 	Tags: Clothing,NonMagic,Safe
Item Number 48              Name: Wooden ruler, split in the middle                   Age:  108 years,   32 days 	Tags: NonMagic,Safe,Tool
Item Number 49              Name: Small brass hinge                                   Age:  108 years,  176 days 	Tags: NonMagic,Part,Safe
Item Number 50              Name: Stitched patch shaped like a fox                    Age:   95 years,   70 days 	Tags: Clothing,NonMagic,Safe,Trinket
Item Number 51              Name: Spool of conductive thread                          Age:   67 years,  143 days 	Tags: Clothing,NonMagic,RawMaterial,Safe
Item Number 52              Name: Tuning fork with etched notes                       Age:  412 years,  178 days 	Tags: NonMagic,Safe,Trinket
Item Number 53              Name: Pin of silver shaped like a lily                    Age:  367 years,   47 days 	Tags: NonMagic,Safe,Trinket
Item Number 54              Name: Bent nail saved for “later use”                     Age:  490 years,  253 days 	Tags: NonMagic,Part,Safe
Item Number 55              Name: Thin chisel with ornamental grip                    Age:  293 years,  104 days 	Tags: NonMagic,Part,Safe,Tool
Item Number 56              Name: Glass bottle with layered colored sand              Age:  109 years,   95 days 	Tags: NonMagic,RawMaterial,Safe,Trinket
Item Number 57              Name: Card with pressed flower sealed in wax              Age:  156 years,  107 days 	Tags: NonMagic,Safe,Trinket
Item Number 58              Name: Wooden peg painted like a tiny soldier              Age:  140 years,  118 days 	Tags: NonMagic,Safe,Trinket
Item Number 59              Name: Bundle of dyed feathers                             Age:  435 years,  131 days 	Tags: NonMagic,Safe,Trinket
Item Number 60              Name: Compass needle in a wax paper packet                Age:  117 years,  236 days 	Tags: NonMagic,Part,Safe
Item Number 61              Name: Small tin marked “springs & things”                 Age:  414 years,  220 days 	Tags: NonMagic,Part,Safe,Tool
Item Number 62              Name: Wire loop with unknown purpose                      Age:  293 years,  289 days 	Tags: NonMagic,Part,Safe
Item Number 63              Name: Empty brass cartridge casing                        Age:   53 years,  241 days 	Tags: NonMagic,Part,Safe
Item Number 64              Name: Block of scented soap (cedar)                       Age:   68 years,  322 days 	Tags: FOOD,NonMagic,Safe
Item Number 65              Name: Cracked magnifying lens                             Age:  129 years,  311 days 	Tags: Device,NonMagic,Safe
Item Number 66              Name: Matchbox full of carved wooden stars                Age:  322 years,  110 days 	Tags: NonMagic,Safe,Trinket
Item Number 67              Name: Tiny hourglass (sand has settled)                   Age:  341 years,  147 days 	Tags: NonMagic,Safe,Trinket
Item Number 68              Name: Strip of linen printed with equations               Age:  430 years,   59 days 	Tags: NonMagic,RawMaterial,Safe
Item Number 69              Name: Shard of mirror painted with sigils                 Age:  220 years,   59 days 	Tags: Magic,Safe,Trinket
Item Number 70              Name: Leather-bound scrap of blueprint                    Age:   48 years,  241 days 	Tags: NonMagic,Safe,Trinket
Item Number 71              Name: Personal trinket: Thread-tied toothpick carvings    Age:  369 years,   80 days 	Tags: Important,Remembered,Trinket
Item Number 72              Name: Thread-wrapped magnet                               Age:   19 years,   62 days 	Tags: NonMagic,Part,Safe
Item Number 73              Name: Vial of glittering mineral dust                     Age:  475 years,    2 days 	Tags: AlchemySupply,NonMagic,RawMaterial,Safe
Item Number 74              Name: Bone needle (smooth and old)                        Age:  489 years,  241 days 	Tags: NonMagic,Safe,Tool
Item Number 75              Name: Miniature harmonica (1 note stuck)                  Age:  360 years,  216 days 	Tags: Device,NonMagic,Safe
Item Number 76              Name: Brass buckle with stylized sun                      Age:  380 years,  361 days 	Tags: Clothing,NonMagic,Safe,Trinket
Item Number 77              Name: Coin from a country that doesn’t exist              Age:   11 years,  348 days 	Tags: Currency,NonMagic,Safe,Trinket
Item Number 78              Name: Bundle of cloth strips (various colors)             Age:  135 years,  161 days 	Tags: Clothing,NonMagic,Safe
Item Number 79              Name: Scorched scrap of parchment                         Age:  213 years,   40 days 	Tags: Dangerous,NonMagic,Trinket
Item Number 80              Name: Unfired clay bead                                   Age:  436 years,  356 days 	Tags: NonMagic,RawMaterial,Safe
Item Number 81              Name: Segment of coiled spring steel                      Age:   54 years,  274 days 	Tags: NonMagic,Part,Safe
Item Number 82              Name: Folded letter in indecipherable script              Age:  371 years,  272 days 	Tags: NonMagic,Safe,Trinket
Item Number 83              Name: Wax-sealed bottle with mystery liquid               Age:  412 years,  235 days 	Tags: AlchemySupply,Magic,Safe
Item Number 84              Name: Tiny spool of copper braid                          Age:  127 years,  138 days 	Tags: NonMagic,Part,Safe
Item Number 85              Name: Burnt match with a rune on it                       Age:  434 years,  191 days 	Tags: Dangerous,Magic,Safe
Item Number 86              Name: Hexagonal nut (too small for anything)              Age:   28 years,  111 days 	Tags: NonMagic,Part,Safe
Item Number 87              Name: Small corked jar of red sand                        Age:  279 years,  170 days 	Tags: AlchemySupply,NonMagic,RawMaterial,Safe
Item Number 88              Name: Fish scale laminated in glass                       Age:  445 years,   61 days 	Tags: AlchemySupply,NonMagic,RawMaterial,Safe
Item Number 89              Name: Pebble that hums when warm                          Age:  263 years,   36 days 	Tags: Magic,Safe,Trinket
Item Number 90              Name: Pocket sewing kit (missing needle)                  Age:  461 years,  213 days 	Tags: Clothing,NonMagic,Safe,Tool
Item Number 91              Name: Miniature trowel (flat edge worn)                   Age:  347 years,   20 days 	Tags: NonMagic,Safe,Tool
Item Number 92              Name: Tattered cloth bookmark with initials               Age:  196 years,   92 days 	Tags: Clothing,NonMagic,Safe,Trinket
Item Number 93              Name: Wedge of polished bone (non-magical)                Age:   77 years,   11 days 	Tags: NonMagic,Safe,Trinket
Item Number 94              Name: Dried leaf laminated between clear wax              Age:  402 years,  352 days 	Tags: FOOD,NonMagic,Safe
Item Number 95              Name: Copper pipe elbow (unfitted)                        Age:  363 years,   10 days 	Tags: NonMagic,Part,Safe
Item Number 96              Name: Smoothed stick of charcoal                          Age:  170 years,  183 days 	Tags: NonMagic,RawMaterial,Safe
Item Number 97              Name: Soft leather pouch, empty                           Age:   27 years,  168 days 	Tags: Clothing,NonMagic,Safe,Trinket
Item Number 98              Name: Folded metal clasp (bent)                           Age:  484 years,  240 days 	Tags: NonMagic,Part,Safe
Item Number 99              Name: Wire mesh square (2x2 inches)                       Age:  211 years,  334 days 	Tags: NonMagic,Part,Safe
Item Number 100             Name: Stone tile fragment with inlaid spiral              Age:  416 years,  155 days 	Tags: NonMagic,Safe,Trinket
Item Number 101             Name: Threaded brass fitting                              Age:   13 years,   92 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 102             Name: Steel bolt with hex head                            Age:   43 years,   25 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 103             Name: Copper gear with 24 teeth                           Age:    8 years,  220 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 104             Name: Miniature iron pulley                               Age:  474 years,   10 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 105             Name: Cast iron bracket                                   Age:   21 years,  359 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 106             Name: Set of brass spacers                                Age:    0 years,  186 days 	Tags: NonMagic,Part,Recent,Remembered,Safe,TinkeringGear,Tool
Item Number 107             Name: Polished steel washer                               Age:    0 years,    3 days 	Tags: NonMagic,Part,Recent,Remembered,Safe,TinkeringGear,Tool
Item Number 108             Name: Flathead adjustment screw                           Age:   61 years,   26 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 109             Name: Machined steel armature                             Age:  398 years,  358 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 110             Name: Segment of copper tubing                            Age:   13 years,  147 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 111             Name: Miniature brass vise                                Age:    0 years,   12 days 	Tags: NonMagic,Part,Recent,Remembered,Safe,TinkeringGear,Tool
Item Number 112             Name: Steel spring (3 turns)                              Age:  231 years,  364 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 113             Name: Box of mixed fasteners                              Age:  312 years,   25 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 114             Name: Slotted steel plate                                 Age:    0 years,  100 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 115             Name: Aluminum clamp ring                                 Age:  488 years,  201 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 116             Name: Segment of toothed belt                             Age:   38 years,  161 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 117             Name: Machined brass hinge                                Age:  134 years,  331 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 118             Name: Fine adjustment knob (steel)                        Age:  397 years,  180 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 119             Name: Iron flange with bolt holes                         Age:  172 years,  233 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 120             Name: Small caliper (brass jaws)                          Age:    0 years,  181 days 	Tags: NonMagic,Part,Recent,Remembered,Safe,TinkeringGear,Tool
Item Number 121             Name: Threaded steel rod                                  Age:  350 years,  114 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 122             Name: Steel locking collar                                Age:   72 years,  249 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 123             Name: Set of iron cotter pins                             Age:    0 years,   78 days 	Tags: NonMagic,Part,Recent,Remembered,Safe,TinkeringGear,Tool
Item Number 124             Name: Adjustable tension bolt                             Age:    9 years,  137 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 125             Name: Brass hex coupling                                  Age:  418 years,  200 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 126             Name: Steel rail stop                                     Age:  103 years,   28 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 127             Name: Fitted bearing cap                                  Age:    0 years,    4 days 	Tags: NonMagic,Part,Recent,Remembered,Safe,TinkeringGear,Tool
Item Number 128             Name: Rotary axle joint                                   Age:  395 years,   64 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 129             Name: Notched alignment tab                               Age:    0 years,  136 days 	Tags: Important,NonMagic,Part,Remembered,Safe,TinkeringGear,Tool
Item Number 130             Name: Brass split washer                                  Age:   20 years,  212 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 131             Name: Iron shim plate                                     Age:  156 years,  324 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 132             Name: Small crank handle                                  Age:   56 years,  205 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 133             Name: Compression ring (steel)                            Age:  413 years,  195 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 134             Name: Brass retaining clip                                Age:    0 years,   84 days 	Tags: NonMagic,Part,Recent,Remembered,Safe,TinkeringGear,Tool
Item Number 135             Name: Steel locking nut                                   Age:  147 years,  345 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 136             Name: Set of small bushings                               Age:    0 years,    1 days 	Tags: NonMagic,Part,Recent,Remembered,Safe,TinkeringGear,Tool
Item Number 137             Name: Gear segment (9 teeth)                              Age:   58 years,  300 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 138             Name: Double-threaded screw                               Age:  488 years,  293 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 139             Name: Flat steel baffle plate                             Age:   27 years,   44 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 140             Name: Iron valve stem                                     Age:  296 years,  115 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 141             Name: Crossbar coupler fitting                            Age:    0 years,   58 days 	Tags: NonMagic,Part,Recent,Remembered,Safe,TinkeringGear,Tool
Item Number 142             Name: Slotted rotary shaft                                Age:   79 years,  318 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 143             Name: Small tensioning wheel                              Age:   34 years,  314 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 144             Name: Knurled grip sleeve                                 Age:  109 years,   21 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 145             Name: Anchor bolt with washer                             Age:    1 years,   37 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 146             Name: Segment of copper winding                           Age:   41 years,  136 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 147             Name: Fixed position dial stop                            Age:   33 years,   41 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 148             Name: Cast iron sprocket                                  Age:  327 years,   36 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 149             Name: Brass sleeve bearing                                Age:    2 years,  256 days 	Tags: Important,NonMagic,Part,Remembered,Safe,TinkeringGear,Tool
Item Number 150             Name: Lock-ring with threaded edge                        Age:    6 years,  354 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 151             Name: Flanged steel wheel                                 Age:  305 years,  175 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 152             Name: Steel spring pin                                    Age:    0 years,   20 days 	Tags: NonMagic,Part,Recent,Remembered,Safe,TinkeringGear,Tool
Item Number 153             Name: Split copper terminal                               Age:  189 years,   15 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 154             Name: Slotted crank pin                                   Age:  408 years,  354 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 155             Name: Threaded coupling nut                               Age:  356 years,   98 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 156             Name: Miniature tension ring                              Age:    0 years,  133 days 	Tags: Important,NonMagic,Part,Remembered,Safe,TinkeringGear,Tool
Item Number 157             Name: Bolt-action cam lever                               Age:    0 years,  150 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 158             Name: Steel ball bearing (8 mm)                           Age:   37 years,  265 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 159             Name: Washer stack (mixed)                                Age:   94 years,  172 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 160             Name: Tapped anchor plate                                 Age:    2 years,   31 days 	Tags: NonMagic,Part,Recent,Remembered,Safe,TinkeringGear,Tool
Item Number 161             Name: Bearing shell, brass                                Age:   25 years,   63 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 162             Name: Machined guide rail                                 Age:  493 years,  349 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 163             Name: Segment of worm gear                                Age:   78 years,   41 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 164             Name: Iron U-bracket                                      Age:  335 years,    9 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 165             Name: Precision guide pin                                 Age:  149 years,  294 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 166             Name: Set of brass pins                                   Age:   26 years,  340 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 167             Name: Slotted mounting tab                                Age:  355 years,  260 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 168             Name: Roller wheel with axle                              Age:    1 years,  149 days 	Tags: Important,NonMagic,Part,Remembered,Safe,TinkeringGear,Tool
Item Number 169             Name: Finned brass heatsink                               Age:    4 years,   64 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 170             Name: Steel cotter sleeve                                 Age:   89 years,  232 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 171             Name: Quick-release locking pin                           Age:    0 years,   19 days 	Tags: NonMagic,Part,Recent,Remembered,Safe,TinkeringGear,Tool
Item Number 172             Name: Segment of braided wire                             Age:  211 years,  348 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 173             Name: Insulated connector block                           Age:   29 years,  172 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 174             Name: Copper tie rod                                      Age:  427 years,  199 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 175             Name: Small knurled set screw                             Age:    7 years,  316 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 176             Name: Machined toggle clamp                               Age:  269 years,  335 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 177             Name: Steel indexing plate                                Age:   51 years,   25 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 178             Name: Welded brace (2-inch)                               Age:  212 years,  361 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 179             Name: Cast iron elbow                                     Age:   98 years,  342 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 180             Name: Polished steel disk                                 Age:    0 years,   40 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 181             Name: Friction cap (rubber edge)                          Age:  422 years,  357 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 182             Name: Coupling ring with teeth                            Age:   36 years,  362 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 183             Name: Steel crossbeam stub                                Age:  284 years,  332 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 184             Name: Flat-faced hinge plate                              Age:  156 years,   98 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 185             Name: Threaded alignment peg                              Age:    0 years,  125 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 186             Name: Split shaft collar                                  Age:  485 years,  196 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 187             Name: Guide bushing (press-fit)                           Age:    4 years,   30 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 188             Name: Iron positioning washer                             Age:  493 years,  240 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 189             Name: Steel faceplate ring                                Age:   10 years,  329 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 190             Name: Miniature bearing retainer                          Age:  192 years,  165 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 191             Name: Offset arm lever                                    Age:    3 years,  144 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 192             Name: Steel hanger bracket                                Age:   75 years,  305 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 193             Name: Slotted indexing ring                               Age:  393 years,  252 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 194             Name: Copper contact pad                                  Age:    9 years,  298 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 195             Name: Notched slider plate                                Age:  199 years,  310 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 196             Name: Shouldered anchor pin                               Age:    0 years,    6 days 	Tags: NonMagic,Part,Recent,Remembered,Safe,TinkeringGear,Tool
Item Number 197             Name: Friction tension washer                             Age:  113 years,  128 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 198             Name: Set of three axle pins                              Age:  142 years,  293 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 199             Name: Threaded flange collar                              Age:    5 years,   11 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 200             Name: Brass gear segment (12° arc)                        Age:   87 years,  237 days 	Tags: NonMagic,Part,Safe,TinkeringGear,Tool
Item Number 201             Name: Vial of red sand                                    Age:  365 years,  232 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 202             Name: Sealed flask containing quicklime                   Age:  473 years,  276 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 203             Name: Packet of alchemical chalk                          Age:    0 years,    6 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Recent,Remembered,Safe
Item Number 204             Name: Mortar-stained copper spoon                         Age:   24 years,   33 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 205             Name: Bundle of dried lavender                            Age:  302 years,  161 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 206             Name: Stoppered jar of ether oil                          Age:   45 years,  213 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 207             Name: Vial of glow paste                                  Age:  336 years,  183 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 208             Name: Flask of moonwater                                  Age:  494 years,   29 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 209             Name: Sealed jar of crushed bone                          Age:  214 years,  185 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 210             Name: Dusted glass vial (empty)                           Age:   89 years,  306 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 211             Name: Folded packet of ash flakes                         Age:  132 years,  144 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 212             Name: Labeled flask: aether sediment                      Age:  388 years,  119 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 213             Name: Pouch of iron filings                               Age:  440 years,  346 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 214             Name: Cork-stoppered vial (red residue)                   Age:  310 years,   44 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 215             Name: Bundle of dried duskmint                            Age:  382 years,  137 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 216             Name: Wide-mouthed clay jar                               Age:    2 years,  310 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Recent,Remembered,Safe
Item Number 217             Name: Mortar with herb residue                            Age:   12 years,  187 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 218             Name: Labeled sachet of wormroot                          Age:    0 years,  127 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Important,RawMaterial,Remembered,Safe
Item Number 219             Name: Vial of quicksilver suspension                      Age:  340 years,   70 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 220             Name: Glass dropper bottle (half-full)                    Age:    0 years,  103 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Recent,Remembered,Safe
